0	1	2	3	4	5	6	7	8	9	
10	25	13	16	14	15	11	17	12	18	
27	33	20	22	28	19	24	23	21	26	
52	38	50	29	34	53	30	32	36	31	
55	57	64	39	37	65	35	47	44	40	
59	70	73	42	41	72	43	67	45	46	
62	74	84	60	49	80	63	79	51	48	
75	83	97	68	58	95	77	86	56	54	
88	104	105	76	61	117	94	90	66	69	
91	112	111	85	87	124	99	113	71	78	
100	128	116	93	92	137	103	122	89	81	
102	136	129	114	106	163	121	131	96	82	
107	147	139	125	119	176	134	140	101	98	
108	166	152	133	120	180	138	149	115	109	
110	172	158	142	135	199	145	153	127	118	
126	185	174	151	160	208	167	154	130	123	
141	190	186	161	168	209	175	156	143	132	
148	217	193	170	177	210	183	164	150	144	
155	223	206	188	184	228	192	171	169	146	
157	230	220	197	194	243	203	187	173	159	
165	238	235	213	216	248	207	195	189	162	
179	242	250	226	225	253	211	200	196	178	
181	249	256	231	227	265	224	204	212	182	
198	259	264	246	232	276	234	218	221	191	
201	261	283	263	245	289	240	233	229	202	
215	278	290	274	262	292	257	247	239	205	
222	287	302	280	272	298	269	252	260	214	
236	297	306	299	282	308	270	254	266	219	
237	310	315	305	300	316	284	268	281	244	
241	311	329	326	313	317	301	275	286	258	
251	319	345	333	328	327	307	288	303	271	
255	325	348	339	335	343	312	293	320	279	
267	344	357	352	336	354	324	309	337	285	
273	349	363	364	355	360	332	318	351	304	
277	365	381	378	368	361	340	323	356	314	
291	373	389	382	380	366	346	331	362	321	
294	393	399	391	384	374	369	341	371	334	
295	397	406	407	392	386	376	350	375	338	
296	404	421	413	401	408	385	359	388	347	
322	420	425	416	405	415	409	370	396	358	
330	423	444	424	432	437	419	377	400	367	
342	427	452	431	448	441	430	390	402	379	
353	436	460	445	455	454	447	412	410	394	
372	442	466	451	458	464	461	417	418	395	
383	453	469	462	468	467	473	422	429	398	
387	465	479	474	484	483	480	428	438	411	
403	475	489	477	490	487	493	434	439	426	
414	482	495	492	508	500	496	443	459	446	
433	486	501	506	526	505	511	449	470	450	
435	491	515	520	528	510	524	463	478	456	
440	499	519	530	534	522	527	472	488	481	
457	514	536	539	535	532	541	476	497	502	
471	525	553	552	537	544	547	513	504	503	
485	533	573	558	555	549	557	523	507	512	
494	540	584	566	565	554	570	529	518	521	
498	546	585	571	580	564	579	542	538	531	
509	556	593	574	586	581	594	545	548	543	
516	577	603	576	598	588	616	562	559	550	
517	589	609	590	602	592	623	575	567	560	
551	591	617	597	618	601	630	600	569	572	
561	610	620	604	643	614	638	605	583	578	
563	621	642	608	652	626	657	611	599	596	
568	628	645	619	673	631	669	624	606	607	
582	639	651	632	687	647	677	629	615	612	
587	646	672	641	690	648	680	644	627	625	
595	655	678	649	697	650	691	653	634	633	
613	663	685	661	709	659	702	674	635	640	
622	667	700	670	718	662	714	679	637	654	
636	686	701	688	734	664	725	699	656	660	
658	692	719	696	747	665	729	706	666	668	
671	712	727	707	765	683	753	716	675	684	
682	723	736	713	767	693	758	722	676	698	
695	730	745	721	772	704	771	741	681	708	
703	732	746	735	784	720	787	754	689	717	
710	737	748	757	786	740	793	756	694	724	
711	743	763	774	802	742	798	761	705	728	
731	760	780	799	805	752	808	776	715	739	
733	766	790	807	813	768	812	781	726	749	
750	775	797	826	816	782	815	792	738	755	
759	783	801	831	818	785	835	795	744	764	
778	789	829	842	837	810	836	806	751	770	
796	794	856	854	846	814	845	819	762	773	
800	823	861	864	871	820	848	832	769	777	
803	825	874	869	878	824	853	850	779	791	
804	828	882	877	883	830	857	862	788	821	
809	852	895	886	900	839	866	867	811	838	
817	859	909	905	907	841	875	884	822	843	
827	860	930	914	910	847	881	893	833	863	
834	873	931	919	921	855	889	913	849	868	
840	885	947	922	923	865	892	928	851	879	
844	894	950	924	935	870	899	933	858	888	
872	917	974	934	941	876	915	944	887	901	
897	929	983	946	954	880	937	956	891	906	
902	938	987	953	960	890	948	965	898	912	
911	945	991	958	975	896	951	967	903	918	
926	952	-1	973	988	904	963	969	916	920	
943	955	-1	999	-1	908	972	993	927	925	
949	962	-1	-1	-1	942	986	-1	936	932	
961	980	-1	-1	-1	957	994	-1	940	939	
968	990	-1	-1	-1	964	-1	-1	959	966	
977	-1	-1	-1	-1	976	-1	-1	970	971	
979	-1	-1	-1	-1	978	-1	-1	984	981	
992	-1	-1	-1	-1	982	-1	-1	996	985	
